Player,Season,Born ,Age,Squad,Nation,Previous Market Value,Market Value,Position,App,Minutes,Goals,Passes,Assists,Yellow,Red,SubOn,SubOff,Shots,SOT,HitPost ,HeadClear,HeadGoal,PKScored,FKGoal,Offsides,ThrBall,Misses,Corners,Crosses,Blocks,Interceptions,Fouls,Last man ,Tackles,ELG,OwnGoal,Clears,ABW,ABL
Aaron Cresswell,2018-2019,1989,28,West Ham United,England,13200000,9900000,DF,20,1590,0,812,1,1,0,2,2,11,0,0,23,0,0,0,1,0,11,8,75,7,23,2,1,29,0,0,42,25,18
Aaron Cresswell,2017-2018,1989,28,West Ham United,England,13200000,13200000,DF,36,3071,1,1299,7,7,0,1,5,21,6,2,67,0,0,1,3,3,15,67,196,17,44,20,0,34,0,0,110,57,48
Aaron Cresswell,2015-2016,1989,25,West Ham United,England,9900000,13200000,DF,37,3315,2,1377,4,1,0,0,1,28,7,1,52,0,0,0,1,1,0,0,121,17,70,22,0,38,3,0,88,40,34
Aaron Cresswell,2016-2017,1989,26,West Ham United,England,13200000,13200000,DF,26,2117,0,758,2,2,1,2,3,11,2,0,27,0,0,0,4,0,1,0,97,6,25,11,0,21,1,0,61,36,33
Aaron Wan-Bissaka,2018-2019,1997,21,Crystal Palace,England,900000,31500000,DF,35,3135,0,1165,3,4,1,0,0,9,0,0,59,0,0,0,2,0,9,0,56,16,84,23,0,129,0,0,129,43,30
Abdul Rahman Baba,2015-2016,1994,21,Chelsea,Ghana,10000000,12000000,DF,15,1016,0,526,1,1,0,4,3,6,2,0,16,0,0,0,2,0,0,0,31,4,23,14,0,47,1,0,32,8,13
Adam Masina,2018-2019,1994,24,Watford,Italy,6300000,6300000,DF,14,1004,0,436,1,5,0,3,2,3,0,1,22,0,0,0,1,0,3,16,31,4,17,17,0,30,0,0,36,23,15
Adam Smith,2018-2019,1991,27,AFC Bournemouth,England,4500000,6300000,DF,25,2072,0,872,0,5,1,0,6,7,0,0,33,0,0,0,0,0,7,6,22,7,31,18,0,46,0,0,57,28,31
Adam Smith,2015-2016,1991,24,AFC Bournemouth,England,450000,1800000,DF,31,2096,2,911,0,5,0,9,2,15,4,0,25,0,0,0,2,1,0,4,56,5,44,33,0,71,0,0,49,21,32
Adam Smith,2016-2017,1991,25,AFC Bournemouth,England,1800000,4500000,DF,36,3099,1,1452,5,6,0,2,0,26,6,2,36,0,0,0,3,2,1,8,55,13,54,45,0,85,0,0,71,31,50
Adam Smith,2017-2018,1991,26,AFC Bournemouth,England,4500000,4500000,DF,27,2069,1,912,3,6,0,5,2,13,3,0,23,0,0,0,0,1,10,6,35,8,31,23,0,49,0,0,56,15,28
Adama Traore,2016-2017,1996,20,Middlesbrough,Spain,6300000,7200000,DF,27,1535,0,369,1,1,0,11,7,11,2,0,1,0,0,0,1,6,1,0,79,2,6,20,0,30,0,0,5,15,23
Adrian Mariappa,2017-2018,1986,31,Watford,Jamaica,900000,1350000,DF,28,2208,0,961,0,4,0,4,3,10,2,0,79,0,0,0,0,0,8,0,4,16,45,32,1,45,2,0,129,90,75
Adrian Mariappa,2018-2019,1986,31,Watford,Jamaica,1350000,2700000,DF,26,1924,0,882,0,3,0,6,0,7,1,0,51,0,0,0,1,0,6,0,1,15,25,19,2,35,1,0,119,59,58
Ahmed El Mohamady,2016-2017,1987,29,Hull City,Egypt,4400000,4400000,DF,33,2520,0,1371,2,3,1,5,1,9,2,0,53,0,0,0,1,1,0,0,123,8,49,22,0,42,0,1,90,59,38
Ahmed Hegazi,2017-2018,1991,26,West Bromwich Albion,Egypt,1650000,5500000,DF,38,3387,2,1186,0,4,0,0,1,14,4,0,152,2,0,0,2,1,10,0,10,37,60,24,0,58,1,0,270,103,84
Alan Hutton,2015-2016,1984,30,Aston Villa,Scotland,2000000,2000000,DF,28,2330,0,843,1,6,1,2,1,9,0,0,32,0,0,0,3,1,1,0,121,10,52,28,0,55,2,2,52,34,16
Alberto Moreno,2015-2016,1992,23,Liverpool,Spain,16500000,16500000,DF,28,2547,1,1323,4,3,0,4,3,36,8,1,12,0,0,0,6,1,1,31,138,5,63,29,0,92,0,0,48,14,15
Alberto Moreno,2017-2018,1992,25,Liverpool,Spain,11000000,11000000,DF,16,1264,0,783,0,1,0,2,0,12,2,0,16,0,0,0,0,1,10,3,51,2,12,8,0,35,0,0,39,10,17
Alberto Moreno,2016-2017,1992,24,Liverpool,Spain,16500000,11000000,DF,12,298,0,182,1,1,0,10,0,3,0,1,6,0,0,0,0,0,0,3,13,0,2,2,0,6,0,0,17,2,4
Aleksandar Dragovic,2017-2018,1991,26,Leicester City,Austria,10800000,9000000,DF,11,767,0,337,0,2,0,4,1,0,0,0,25,0,0,0,0,0,0,0,1,8,16,7,0,13,0,0,42,13,9
Aleksandar Kolarov,2016-2017,1985,30,Manchester City,Serbia,9900000,9000000,DF,29,2533,1,1859,1,6,0,2,0,32,10,0,106,0,0,1,0,6,0,2,27,10,46,34,0,47,0,1,155,84,41
Aleksandar Kolarov,2015-2016,1985,29,Manchester City,Serbia,9900000,9900000,DF,29,2281,3,1361,3,3,0,4,2,39,10,3,48,0,0,0,3,1,2,43,149,8,46,20,0,34,0,0,71,47,25
Alfie Mawson,2017-2018,1994,23,Swansea City,England,5400000,13500000,DF,38,3420,2,1744,1,3,0,0,0,20,6,0,126,0,0,0,0,1,14,0,2,32,35,19,0,32,1,0,222,122,74
Alfie Mawson,2016-2017,1994,22,Swansea City,England,270000,5400000,DF,27,2430,4,1218,0,1,0,0,0,22,5,2,95,3,0,0,0,1,1,0,1,27,30,10,0,29,1,2,169,84,52
Alfie Mawson,2018-2019,1994,24,Fulham,England,13500000,13500000,DF,15,1130,0,477,0,2,0,2,2,2,1,0,38,0,0,0,0,0,1,0,3,17,19,6,0,11,0,0,64,32,21
Allan-Romeo Nyom,2016-2017,1988,28,West Bromwich Albion,Cameroon,3600000,4050000,DF,32,2637,0,735,2,8,0,3,3,6,1,0,57,0,0,0,2,0,0,0,78,8,60,50,0,72,0,0,101,21,19
Allan-Romeo Nyom,2015-2016,1988,27,Watford,Cameroon,3600000,3600000,DF,28,2474,0,860,1,8,0,3,9,7,1,0,26,0,0,0,0,1,0,0,85,7,60,36,0,84,1,0,70,13,20
Allan-Romeo Nyom,2017-2018,1988,29,West Bromwich Albion,Cameroon,4050000,4050000,DF,29,2308,0,753,1,7,0,4,2,0,0,0,47,0,0,0,0,0,0,0,88,9,27,20,0,64,0,0,83,22,19
Aly Cissokho,2015-2016,1987,27,Aston Villa,France,2700000,1800000,DF,18,1603,0,647,0,3,1,0,0,4,3,0,31,0,0,0,0,0,0,0,81,3,40,13,0,26,0,0,75,22,12
Andre Wisdom,2015-2016,1993,22,Norwich City,England,4500000,2700000,DF,10,823,0,307,0,1,0,0,0,2,0,0,15,0,0,0,0,0,0,0,25,0,8,3,0,19,0,0,23,10,10
Andrea Ranocchia,2016-2017,1988,28,Hull City,Italy,6600000,5500000,DF,16,1329,2,550,2,2,0,0,1,8,5,0,70,1,0,0,0,0,1,0,2,12,22,13,0,28,1,0,114,43,35
Andreas Christensen,2017-2018,1996,21,Chelsea,Denmark,19800000,44000000,DF,27,2070,0,1349,0,0,0,4,6,12,1,2,60,0,0,0,1,1,11,0,0,17,38,8,0,26,1,0,104,56,29
Andrew Robertson,2017-2018,1994,23,Liverpool,Scotland,6300000,22500000,DF,22,1943,1,1421,5,2,0,0,3,12,2,0,16,0,0,0,5,3,10,0,88,2,26,15,1,31,0,0,49,15,10
Andrew Robertson,2018-2019,1994,24,Liverpool,Scotland,22500000,54000000,DF,36,3219,0,2396,11,4,0,0,3,16,5,1,23,0,0,0,1,2,11,4,135,6,30,18,0,80,0,0,47,24,29
Andrew Robertson,2016-2017,1994,22,Hull City,Scotland,6300000,6300000,DF,33,2736,1,1229,2,5,0,2,2,7,1,1,28,0,0,0,1,0,0,9,119,15,55,18,3,53,0,0,75,9,13
Angel Rangel,2015-2016,1982,33,Swansea City,Spain,1650000,1650000,DF,20,1821,0,1278,0,6,0,3,4,14,0,1,38,0,0,0,2,0,1,0,47,7,59,19,0,43,0,0,72,36,25
Angel Rangel,2016-2017,1982,34,Swansea City,Spain,1650000,1100000,DF,18,823,1,545,0,1,0,10,1,5,3,0,20,0,0,0,1,0,0,0,11,3,26,10,0,32,0,0,31,13,13
Angelo Ogbonna,2016-2017,1988,28,West Ham United,Italy,8100000,8100000,DF,20,1755,0,805,0,2,0,0,1,3,1,0,58,0,0,0,0,0,0,0,4,14,37,13,0,27,1,0,96,44,18
