Player,Season,Born ,Age,Squad,Nation,Previous Market Value,Market Value,Position,App,Minutes,Goals,Passes,Assists,Shots,SOT,Tackles,ABW 
Abel Hernández,2016-2017,1990,25,Hull City,Uruguay,7200000,7200000,FW,24,1428,4,252,3,39,18,8,0.305555556
Aboubakar Kamara,2018-2019,1995,23,Fulham,France,4400000,2480000,FW,13,690,3,226,0,21,10,8,0.444444444
Adama Diakhaby,2018-2019,1996,22,Huddersfield Town,France,7700000,7200000,FW,12,553,0,147,0,7,3,6,0.285714286
Adama Diomande,2016-2017,1990,26,Hull City,Norway,1350000,1350000,FW,22,1169,2,320,0,23,6,24,0.472972973
Adama Traoré,2015-2016,1996,19,Aston Villa,Spain,5500000,6300000,FW,10,184,0,30,0,2,0,0,0
Adama Traoré,2018-2019,1996,22,Wolves,Spain,16500000,13500000,FW,10,184,0,30,0,2,0,0,0
Ahmed Musa,2016-2017,1992,23,Leicester City,Nigeria,16500000,15300000,FW,21,753,2,214,0,17,6,13,0.243902439
Alberto Paloschi,2015-2016,1990,25,Swansea City,Italy,5400000,5400000,FW,10,669,2,199,0,15,7,7,0.238095238
Aleksandar Mitrovic,2015-2016,1994,21,Newcastle United,Serbia,9900000,13800000,FW,34,2113,9,721,4,79,30,24,0.431472081
Aleksandar Mitrovic,2018-2019,1994,24,Fulham,Serbia,13500000,22500000,FW,34,2113,9,721,4,79,30,24,0.431472081
Alex Iwobi,2015-2016,1996,19,Arsenal,Nigeria,1100000,3600000,FW,13,632,2,368,0,15,7,8,0.25
Benik Afobe,2015-2016,1993,22,AFC Bournemouth,The Democratic Republic Of Congo,1650000,6300000,FW,15,936,4,224,0,14,0,5,0.243902439
Alex Iwobi,2016-2017,1996,20,Arsenal,Nigeria,3600000,9000000,FW,13,632,2,368,0,15,7,8,0.25
Alex Iwobi,2017-2018,1996,21,Arsenal,Nigeria,9000000,13500000,FW,13,632,2,368,0,15,7,8,0.25
Benik Afobe,2016-2017,1993,23,AFC Bournemouth,The Democratic Republic Of Congo,6300000,8100000,FW,15,936,4,224,0,14,0,5,0.243902439
Alex Iwobi,2018-2019,1996,22,Arsenal,Nigeria,13500000,22900000,FW,13,632,2,368,0,15,7,8,0.25
Alexander Sørloth,2018-2019,1995,22,Crystal Palace,Norway,6300000,5400000,FW,4,360,0,107,0,3,3,6,0.487804878
Alexandre Lacazette,2017-2018,1991,26,Arsenal,France,38500000,54000000,FW,32,2211,14,722,4,68,35,24,0.322222222
Alexandre Lacazette,2018-2019,1991,27,Arsenal,France,54000000,63000000,FW,32,2211,14,722,4,68,35,24,0.322222222
Alexis Sanchez,2016-2017,1988,28,Arsenal,Chile,49500000,58500000,FW,38,3223,24,1643,10,129,49,53,0.215384615
Alexis Sanchez,2015-2016,1988,26,Arsenal,Chile,49500000,49500000,FW,38,3223,24,1643,10,129,49,53,0.215384615
Alexis Sanchez,2017-2018,1988,29,Arsenal,Chile,58500000,49500000,FW,38,3223,24,1643,10,129,49,53,0.215384615
Alexis Sanchez,2018-2019,1988,29,Manchester United,Chile,49500000,31500000,FW,38,3223,24,1643,10,129,49,53,0.215384615
Álvaro Morata,2017-2018,1992,25,Chelsea,Spain,44000000,58500000,FW,31,2067,11,576,6,79,34,13,0.477876106
Álvaro Morata,2018-2019,1992,25,Chelsea,Spain,58500000,45000000,FW,31,2067,11,576,6,79,34,13,0.477876106
Álvaro Negredo,2016-2017,1985,30,Middlesbrough,Spain,8250000,6750000,FW,36,2877,9,862,4,69,23,18,0.497159091
André Ayew,2015-2016,1989,25,Swansea City,Ghana,14300000,16200000,FW,34,2937,12,1056,0,67,27,55,0.335820896
André Ayew,2016-2017,1989,26,West Ham United,Ghana,16200000,16200000,FW,34,2937,12,1056,0,67,27,55,0.335820896
Benik Afobe,2017-2018,1993,24,AFC Bournemouth,The Democratic Republic Of Congo,8100000,9000000,FW,15,936,4,224,0,14,0,5,0.243902439
André Ayew,2017-2018,1989,28,Swansea City,Ghana,16200000,13500000,FW,34,2937,12,1056,0,67,27,55,0.335820896
Ademola Lookman,2018-2019,1997,20,Everton,England,10800000,18000000,FW,8,290,0,94,0,16,6,5,0.2
Andre Gray,2016-2017,1991,25,Burnley,England,450000,9000000,FW,32,2267,9,371,3,47,19,10,0.129032258
Callum Wilson,2016-2017,1992,24,AFC Bournemouth,England,8100000,9000000,FW,20,1363,6,191,0,31,12,6,0.151515152
Andre Gray,2017-2018,1991,26,Watford,England,9000000,13500000,FW,32,2267,9,371,3,47,19,10,0.129032258
Anthony Knockaert,2018-2019,1991,26,Brighton and Hove Albion,France,7200000,7200000,FW,30,1833,2,616,6,27,9,33,0.666666667
Anthony Martial,2015-2016,1995,19,Manchester United,France,8800000,28500000,FW,29,2632,11,923,4,57,25,21,0.380952381
Andre Gray,2018-2019,1991,27,Watford,England,13500000,13500000,FW,32,2267,9,371,3,47,19,10,0.129032258
Anthony Martial,2016-2017,1995,20,Manchester United,France,28500000,27000000,FW,29,2632,11,923,4,57,25,21,0.380952381
Anthony Martial,2017-2018,1995,22,Manchester United,France,27000000,58500000,FW,29,2632,11,923,4,57,25,21,0.380952381
Anthony Martial,2018-2019,1995,22,Manchester United,France,58500000,54000000,FW,29,2632,11,923,4,57,25,21,0.380952381
Arouna Koné,2015-2016,1983,31,Everton,Cote D'Ivoire,1350000,2250000,FW,25,1458,5,580,4,36,14,25,0.245901639
Ashley Barnes,2016-2017,1989,26,Burnley,Austria,2200000,2250000,FW,28,1775,6,448,2,45,19,21,0.365942029
Andros Townsend,2015-2016,1991,24,Newcastle United,England,8800000,9900000,FW,16,1153,4,392,2,29,16,29,0
Ashley Barnes,2017-2018,1989,28,Burnley,Austria,2250000,7200000,FW,28,1775,6,448,2,45,19,21,0.365942029
Andy Carroll,2018-2019,1989,29,West Ham United,England,9000000,7200000,FW,12,455,0,136,0,14,6,4,0.516853933
Ashley Barnes,2018-2019,1989,28,Burnley,Austria,7200000,9000000,FW,28,1775,6,448,2,45,19,21,0.365942029
Ayoze Pérez,2015-2016,1993,22,Newcastle United,Spain,7200000,8800000,FW,34,2045,6,588,2,50,16,56,0.194444444
Ayoze Pérez,2017-2018,1993,24,Newcastle United,Spain,7200000,9000000,FW,34,2045,6,588,2,50,16,56,0.194444444
Ayoze Pérez,2018-2019,1993,25,Newcastle United,Spain,9000000,18000000,FW,34,2045,6,588,2,50,16,56,0.194444444
Bafétimbi Gomis,2015-2016,1985,29,Swansea City,France,7300000,6300000,FW,33,1694,6,509,0,59,17,7,0.407894737
Andy Carroll,2015-2016,1989,26,West Ham United,England,9000000,9000000,FW,12,455,0,136,0,14,6,4,0.516853933
Callum Wilson,2017-2018,1992,25,AFC Bournemouth,England,9000000,9000000,FW,20,1363,6,191,0,31,12,6,0.151515152
Callum Wilson,2018-2019,1992,26,AFC Bournemouth,England,9000000,27000000,FW,20,1363,6,191,0,31,12,6,0.151515152
Andy Carroll,2016-2017,1989,27,West Ham United,England,9000000,9000000,FW,12,455,0,136,0,14,6,4,0.516853933
Andy Carroll,2017-2018,1989,28,West Ham United,England,9000000,9000000,FW,12,455,0,136,0,14,6,4,0.516853933
Ashley Fletcher,2016-2017,1995,20,West Ham United,England,550000,3150000,FW,16,354,0,91,0,9,5,3,0.307692308
Bojan,2015-2016,1990,25,Stoke City,Spain,7700000,9000000,FW,27,1709,7,728,1,36,15,18,0.153846154
Borja Bastón,2016-2017,1992,23,Swansea City,Spain,5500000,9000000,FW,18,547,1,180,0,15,3,5,0.194444444
Bobby De Cordova-Reid,2018-2019,1993,25,Cardiff City,England,9000000,9000000,FW,27,1422,5,311,2,27,9,16,0.234042553
Callum McManaman,2015-2016,1991,24,West Bromwich Albion,Spain,5500000,3600000,FW,37,3202,2,1798,3,10,0,114,0.541176471
Cameron Jerome,2015-2016,1986,28,Norwich City,England,3300000,2250000,FW,10,692,0,353,0,1,1,8,0.303030303
Charlie Austin,2018-2019,1989,29,Southampton,England,9000000,7200000,FW,25,980,2,197,2,32,9,13,0.338709677
Charlie Austin,2017-2018,1989,28,Southampton,England,11700000,9000000,FW,25,980,2,197,2,32,9,13,0.338709677
Joshua King,2015-2016,1992,23,AFC Bournemouth,Norway,1100000,3600000,FW,21,1924,6,444,2,54,20,29,0.37037037
Charlie Austin,2016-2017,1989,27,Southampton,England,11700000,11700000,FW,25,980,2,197,2,32,9,13,0.338709677
Cenk Tosun,2017-2018,1991,26,Everton,Turkey,9900000,20700000,FW,14,991,5,263,0,19,8,6,0
Cenk Tosun,2018-2019,1991,27,Everton,Turkey,20700000,16200000,FW,14,991,5,263,0,19,8,6,0
Felipe Anderson,2018-2019,1993,25,West Ham United,Brazil,33000000,36000000,FW,36,3051,9,1667,4,58,25,89,0.277777778
Connor Wickham,2015-2016,1993,22,Crystal Palace,England,4500000,5400000,FW,6,61,0,11,0,5,0,0,0.5
Chicharito,2017-2018,1988,29,West Ham United,Mexico,19800000,16500000,FW,28,1543,8,373,0,29,16,11,0.291666667
Chicharito,2018-2019,1988,30,West Ham United,Mexico,13500000,10800000,FW,28,1543,8,373,0,29,16,11,0.291666667
Chris Wood,2017-2018,1991,26,Burnley,New Zealand,11000000,16200000,FW,24,1633,10,415,1,39,24,7,0.441489362
Daniel Sturridge,2017-2018,1989,28,Liverpool,England,18000000,13500000,FW,15,547,2,158,1,24,8,0,0.333333333
Chris Wood,2018-2019,1991,26,Burnley,New Zealand,16200000,16200000,FW,24,1633,10,415,1,39,24,7,0.441489362
Christian Atsu,2018-2019,1992,26,Newcastle United,Ghana,6600000,6600000,FW,28,1488,1,383,0,28,14,24,0.144927536
Chung-Yong Lee,2015-2016,1988,27,Crystal Palace,South Korea,1000000,1350000,FW,13,385,1,177,0,5,0,15,0.384615385
Chung-Yong Lee,2016-2017,1988,28,Crystal Palace,South Korea,1350000,1350000,FW,13,385,1,177,0,5,0,15,0.384615385
Christian Benteke,2015-2016,1990,24,Liverpool,Belgium,22000000,24300000,FW,29,1518,9,516,3,61,20,8,0.575221239
Christian Benteke,2016-2017,1990,25,Crystal Palace,Belgium,24300000,25200000,FW,29,1518,9,516,3,61,20,8,0.575221239
Christian Benteke,2017-2018,1990,27,Crystal Palace,Belgium,25200000,19800000,FW,29,1518,9,516,3,61,20,8,0.575221239
Christian Benteke,2018-2019,1990,27,Crystal Palace,Belgium,19800000,13500000,FW,29,1518,9,516,3,61,20,8,0.575221239
Collin Quaner,2017-2018,1991,26,Huddersfield Town,Germany,1100000,1350000,FW,26,1272,0,422,4,16,4,22,0.365853659
Cristhian Stuani,2016-2017,1986,29,Middlesbrough,Uruguay,4400000,3150000,FW,23,1361,4,383,0,21,10,35,0.546511628
Dame N'Doye,2015-2016,1985,30,Sunderland,Senegal,5000000,2700000,FW,11,567,1,187,0,9,4,12,0.381818182
Daniel Sturridge,2018-2019,1989,28,Liverpool,England,13500000,13500000,FW,15,547,2,158,1,24,8,0,0.333333333
Daniel Sturridge,2016-2017,1989,26,Liverpool,England,22000000,18000000,FW,15,547,2,158,1,24,8,0,0.333333333
Daniel Sturridge,2015-2016,1989,25,Liverpool,England,22000000,22000000,FW,15,547,2,158,1,24,8,0,0.333333333
Danny Graham,2015-2016,1985,29,Sunderland,England,1350000,1350000,FW,10,358,0,88,0,4,0,1,0.34375
Joshua King,2016-2017,1992,24,AFC Bournemouth,Norway,3600000,7200000,FW,21,1924,6,444,2,54,20,29,0.37037037
Danny Ings,2018-2019,1992,26,Southampton,England,7200000,13500000,FW,6,340,2,80,0,10,0,0,0.3
Danny Ward,2018-2019,1991,26,Cardiff City,England,1350000,1350000,FW,14,440,1,92,0,11,6,2,0.449275362
Danny Welbeck,2015-2016,1990,24,Arsenal,England,15300000,15300000,FW,11,578,4,148,2,20,11,11,0.37037037
Dominic Solanke,2017-2018,1997,20,Liverpool,England,3300000,7200000,FW,21,583,1,197,1,22,8,7,0.355932203
Dominic Solanke,2018-2019,1997,20,AFC Bournemouth,England,7200000,9000000,FW,21,583,1,197,1,22,8,7,0.355932203
Diafra Sakho,2015-2016,1989,25,West Ham United,Senegal,9000000,10800000,FW,21,1525,5,344,1,48,18,15,0.350649351
Diafra Sakho,2017-2018,1989,28,West Ham United,Senegal,9000000,4500000,FW,21,1525,5,344,1,48,18,15,0.350649351
Diego Costa,2015-2016,1988,26,Chelsea,Spain,45000000,40500000,FW,28,2379,12,824,6,68,28,21,0.313432836
Diego Costa,2016-2017,1988,27,Chelsea,Spain,40500000,45000000,FW,28,2379,12,824,6,68,28,21,0.313432836
Dieudonne Mbokani Bezua,2015-2016,1985,30,Norwich City,The Democratic Republic Of Congo,12100000,6300000,FW,29,1588,7,484,1,37,20,11,0.457692308
Dieudonne Mbokani Bezua,2016-2017,1985,31,Hull City,The Democratic Republic Of Congo,6300000,4500000,FW,29,1588,7,484,1,37,20,11,0.457692308
Dimitri Payet,2015-2016,1987,28,West Ham United,France,14300000,20700000,FW,30,2571,9,1269,12,69,28,24,0.166666667
Duncan Watmore,2015-2016,1994,21,Sunderland,England,1000000,2250000,FW,23,907,3,156,0,14,8,7,0.227272727
Dusan Tadic,2015-2016,1988,27,Southampton,Serbia,13500000,15300000,FW,34,2290,7,872,12,56,16,37,0.310344828
Dusan Tadic,2016-2017,1988,28,Southampton,Serbia,15300000,15300000,FW,34,2290,7,872,12,56,16,37,0.310344828
Dusan Tadic,2017-2018,1988,29,Southampton,Serbia,15300000,13500000,FW,34,2290,7,872,12,56,16,37,0.310344828
Danny Welbeck,2016-2017,1990,25,Arsenal,England,15300000,13500000,FW,11,578,4,148,2,20,11,11,0.37037037
Danny Welbeck,2017-2018,1990,27,Arsenal,England,13500000,13500000,FW,11,578,4,148,2,20,11,11,0.37037037
Divock Origi,2015-2016,1995,20,Liverpool,Belgium,9900000,9900000,FW,16,666,5,164,1,24,12,5,0.194444444
Divock Origi,2016-2017,1995,21,Liverpool,Belgium,9900000,10800000,FW,16,666,5,164,1,24,12,5,0.194444444
Divock Origi,2018-2019,1995,23,Liverpool,Belgium,9000000,18000000,FW,16,666,5,164,1,24,12,5,0.194444444
Dwight Gayle,2015-2016,1990,24,Crystal Palace,England,4400000,5400000,FW,16,768,3,144,0,22,9,11,0.385964912
Dwight Gayle,2017-2018,1990,27,Newcastle United,England,11000000,11000000,FW,16,768,3,144,0,22,9,11,0.385964912
